Country,Average Consumption
Austria,2.6607305388563645
Belgium,0.4548541692695628
Bosnia and Herzegovina,5.906934583745733
Bulgaria,1.235104465692519
Croatia,3.9589295324532
Czechia,5.578665824001303
Estonia,3.2328564949852483
Finland,0.3836251256102052
France,1.1356809313817384
Germany,1.552562887443076
Greece,0.0126459143968872
Hungary,10.636470929309231
Latvia,4.280253619037446
Montenegro,6.568709180451261
Netherlands,1.7605655933393023
Poland,6.2232063794422565
Portugal,0.0439245790965711
Republic of North Macedonia,2.1615226780744248
Romania,7.51814804482877
Serbia,9.301101377225647
Slovenia,4.231167935120648
Sweden,0.0840528477654786
United Kingdom,0.025768401226317
